amfi_code,scheme_name,category,alpha,beta
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,23.201,0.89
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,19.8686,0.87
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,30.337,0.89
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,4.8824,1.04
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,5.6209,0.22
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,3.7476,0.97
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,17.7298,0.97
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,27.1954,0.91
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,11.9891,1.04
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,4.2818,0.44
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,17.7033,0.96
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,21.1948,1.03
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,29.2636,1.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,16.2539,0.92
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,6.7462,0.26
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,21.8294,0.88
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,15.6438,1.02
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,17.5007,1.03
118635,Nippon India ETF Nifty 50 BeES,Equity,15.1364,1.04
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,5.0748,0.37
120841,Kotak Bluechip Fund - Regular - Growth,Equity,13.0429,0.93
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,7.8044,1.0
120843,Kotak Flexicap Fund - Regular - Growth,Equity,27.3305,0.95
120844,Kotak Liquid Fund - Regular - Growth,Debt,6.4557,0.47
119092,Axis Bluechip Fund - Regular - Growth,Equity,6.8995,0.91
119093,Axis Bluechip Fund - Direct - Growth,Equity,8.2328,0.87
119094,Axis Midcap Fund - Regular - Growth,Equity,26.0767,1.0
119095,Axis Small Cap Fund - Regular - Growth,Equity,4.8016,1.0
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,21.3998,1.03
101207,ABSL Small Cap Fund - Regular - Growth,Equity,10.8971,0.97
101208,ABSL Liquid Fund - Regular - Growth,Debt,6.0861,0.43
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,17.0488,0.9
102886,UTI Mid Cap Fund - Regular - Growth,Equity,2.8969,0.92
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,16.2113,1.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,26.9838,0.96
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,20.873,0.99
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,28.2704,0.98
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,13.1732,0.91
149323,DSP Midcap Fund - Regular - Growth,Equity,26.5986,0.98
149324,DSP Small Cap Fund - Regular - Growth,Equity,30.0579,0.98
