amfi_code,cagr_1yr,cagr_3yr,scheme_name,fund_house,category,cagr_5yr,available_years
100016,-2.225777389268801,1.2923525892154508,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,2.6371,4.4
100025,3.707552701889649,3.9154793546847033,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,4.4582,4.4
100033,53.277195495405,32.43397122906222,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,30.1232,4.4
101206,47.96379447633372,28.960211096593724,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,23.5384,4.4
101207,-24.000309180292632,-4.151453816140693,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,7.9388,4.4
101208,7.241777200393584,6.314299292105274,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,6.509,4.4
102885,20.222858595384665,19.662361245910965,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,18.2324,4.4
102886,-16.807959958672036,-0.7672319440258146,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.1717,4.4
102887,13.59304393755194,25.549670172502022,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,16.8411,4.4
118632,34.007895823651204,22.646647456747715,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,24.0495,4.4
118633,25.559539940517386,21.0846910293806,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,16.2742,4.4
118634,15.8228664455887,8.0060298597036,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,16.3735,4.4
118635,22.51024810376228,20.00321571698329,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,15.9572,4.4
118636,10.46246278808034,4.061259859840338,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,5.3169,4.4
119092,1.61022963455828,0.5257668501786883,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,6.368,4.4
119093,19.78153852410049,20.8115598266319,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,7.8976,4.4
119094,22.277897154308548,35.10252788903541,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,28.2144,4.4
119095,-42.81949516662213,-11.703299329834216,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.5215,4.4
119120,5.525880326360788,5.838988442093762,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,5.8894,4.4
119551,60.48929711840034,30.448613060027817,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,25.8047,4.4
119552,5.710117852077778,16.263375081360643,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,21.5242,4.4
119598,82.85157468100046,26.66309129954312,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,32.4235,4.4
119599,13.957994357447737,-1.337083602283895,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,2.0545,4.4
120503,8.495135972254552,13.974980348212672,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,18.7853,4.4
120504,13.073788394478305,32.478927222623,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,23.2951,4.4
120505,29.62768117152688,31.769242852237323,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,32.8274,4.4
120506,41.85299002066023,18.417429266835228,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,17.0849,4.4
120507,7.430320855847317,7.392538786263403,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,7.2375,4.4
120841,16.849551529398422,17.263014444437943,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,13.5322,4.4
120842,22.51898694246592,7.75416750547262,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,6.7015,4.4
120843,26.677583918827157,29.57511058901836,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,30.9075,4.4
120844,7.125369741102916,6.694394239074852,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,6.9153,4.4
125497,28.6975804558778,18.429918008610045,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,19.0178,4.4
125498,15.455077019290384,11.242518737374208,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,11.3018,4.4
148567,20.37595706234765,33.991970400445304,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,30.9741,4.4
148568,14.279834500870736,14.744434832760533,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,22.5169,4.4
148569,39.78380253854239,29.17135767741186,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,31.9495,4.4
149322,18.12461925339035,18.03973982038829,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,13.3933,4.4
149323,21.497414349538225,26.863103668817143,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,29.5811,4.4
149324,65.19546577826334,26.99350260734621,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,32.2874,4.4
