amfi_code,hhi,scheme_name,category,concentration
100016,1806.0,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Moderate
100033,2276.0,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Moderate
101206,1800.0,ABSL Frontline Equity Fund - Regular - Growth,Equity,Moderate
101207,2227.0,ABSL Small Cap Fund - Regular - Growth,Equity,Moderate
102885,1807.0,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Moderate
102886,1240.0,UTI Mid Cap Fund - Regular - Growth,Equity,Low
102887,2514.0,UTI Flexi Cap Fund - Regular - Growth,Equity,High
118632,2073.0,Nippon India Large Cap Fund - Regular - Growth,Equity,Moderate
118633,2212.0,Nippon India Large Cap Fund - Direct - Growth,Equity,Moderate
118634,1603.0,Nippon India Small Cap Fund - Regular - Growth,Equity,Moderate
118635,2375.0,Nippon India ETF Nifty 50 BeES,Equity,Moderate
119092,2968.0,Axis Bluechip Fund - Regular - Growth,Equity,High
119093,1842.0,Axis Bluechip Fund - Direct - Growth,Equity,Moderate
119094,1751.0,Axis Midcap Fund - Regular - Growth,Equity,Moderate
119095,1596.0,Axis Small Cap Fund - Regular - Growth,Equity,Moderate
119551,1425.0,SBI Bluechip Fund - Regular Plan - Growth,Equity,Low
119552,2275.0,SBI Bluechip Fund - Direct Plan - Growth,Equity,Moderate
119598,1881.0,SBI Small Cap Fund - Regular Plan - Growth,Equity,Moderate
119599,2324.0,SBI Small Cap Fund - Direct Plan - Growth,Equity,Moderate
120503,1822.0,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Moderate
120504,2212.0,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Moderate
120505,2387.0,ICICI Pru Midcap Fund - Regular - Growth,Equity,Moderate
120506,2315.0,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Moderate
120841,2159.0,Kotak Bluechip Fund - Regular - Growth,Equity,Moderate
120842,1621.0,Kotak Emerging Equity Fund - Regular - Growth,Equity,Moderate
120843,1362.0,Kotak Flexicap Fund - Regular - Growth,Equity,Low
125497,1724.0,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Moderate
125498,2532.0,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,High
148567,2012.0,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Moderate
148568,2181.0,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Moderate
148569,2550.0,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,High
149322,1827.0,DSP Top 100 Equity Fund - Regular - Growth,Equity,Moderate
149323,2411.0,DSP Midcap Fund - Regular - Growth,Equity,Moderate
149324,1887.0,DSP Small Cap Fund - Regular - Growth,Equity,Moderate
