amfi_code,var_95_daily,cvar_95_daily,var_95_annual,num_observations,scheme_name,category,risk_category
100016,-1.4364,-1.806,-22.8,1149,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Moderate
100025,-0.3793,-0.4994,-6.02,1149,HDFC Short Term Debt Fund - Regular - Growth,Debt,Low
100033,-1.9034,-2.3456,-30.21,1149,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,High
101206,-1.3282,-1.7439,-21.08,1149,ABSL Frontline Equity Fund - Regular - Growth,Equity,Moderate
101207,-2.6021,-3.2459,-41.31,1149,ABSL Small Cap Fund - Regular - Growth,Equity,Very High
101208,-0.0269,-0.0422,-0.43,1149,ABSL Liquid Fund - Regular - Growth,Debt,Low
102885,-1.2613,-1.549,-20.02,1149,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Moderate
102886,-1.922,-2.3251,-30.51,1149,UTI Mid Cap Fund - Regular - Growth,Equity,High
102887,-1.5232,-1.9411,-24.18,1149,UTI Flexi Cap Fund - Regular - Growth,Equity,Moderately High
118632,-1.3954,-1.7619,-22.15,1149,Nippon India Large Cap Fund - Regular - Growth,Equity,Moderate
118633,-1.3443,-1.663,-21.34,1149,Nippon India Large Cap Fund - Direct - Growth,Equity,Moderate
118634,-2.5438,-3.2304,-40.38,1149,Nippon India Small Cap Fund - Regular - Growth,Equity,Very High
118635,-1.2554,-1.6177,-19.93,1149,Nippon India ETF Nifty 50 BeES,Equity,Moderate
118636,-0.3804,-0.4919,-6.04,1149,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Low
119092,-1.375,-1.7328,-21.83,1149,Axis Bluechip Fund - Regular - Growth,Equity,Moderate
119093,-1.4226,-1.7487,-22.58,1149,Axis Bluechip Fund - Direct - Growth,Equity,Moderate
119094,-1.848,-2.426,-29.34,1149,Axis Midcap Fund - Regular - Growth,Equity,High
119095,-2.6188,-3.1667,-41.57,1149,Axis Small Cap Fund - Regular - Growth,Equity,Very High
119120,-0.3938,-0.5014,-6.25,1149,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Low
119551,-1.2846,-1.6397,-20.39,1149,SBI Bluechip Fund - Regular Plan - Growth,Equity,Moderate
119552,-1.3501,-1.7336,-21.43,1149,SBI Bluechip Fund - Direct Plan - Growth,Equity,Moderate
119598,-2.4507,-3.0595,-38.9,1149,SBI Small Cap Fund - Regular Plan - Growth,Equity,Very High
119599,-2.6859,-3.2384,-42.64,1149,SBI Small Cap Fund - Direct Plan - Growth,Equity,Very High
120503,-1.355,-1.7451,-21.51,1149,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Moderate
120504,-1.3728,-1.7494,-21.79,1149,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Moderate
120505,-1.8892,-2.4342,-29.99,1149,ICICI Pru Midcap Fund - Regular - Growth,Equity,High
120506,-1.4388,-1.9405,-22.84,1149,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Moderately High
120507,-0.0222,-0.0373,-0.35,1149,ICICI Pru Liquid Fund - Regular - Growth,Debt,Low
120841,-1.3142,-1.6363,-20.86,1149,Kotak Bluechip Fund - Regular - Growth,Equity,Moderate
120842,-1.8219,-2.2725,-28.92,1149,Kotak Emerging Equity Fund - Regular - Growth,Equity,High
120843,-1.4508,-1.8381,-23.03,1149,Kotak Flexicap Fund - Regular - Growth,Equity,Moderately High
120844,-0.0285,-0.0411,-0.45,1149,Kotak Liquid Fund - Regular - Growth,Debt,Low
125497,-1.4592,-1.831,-23.16,1149,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Moderate
125498,-1.8365,-2.3094,-29.15,1149,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,High
148567,-1.356,-1.7623,-21.53,1149,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Moderate
148568,-1.4712,-1.8765,-23.35,1149,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Moderately High
148569,-1.7118,-2.1328,-27.17,1149,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,High
149322,-1.4474,-1.8402,-22.98,1149,DSP Top 100 Equity Fund - Regular - Growth,Equity,Moderate
149323,-1.7882,-2.2607,-28.39,1149,DSP Midcap Fund - Regular - Growth,Equity,High
149324,-2.3483,-3.1036,-37.28,1149,DSP Small Cap Fund - Regular - Growth,Equity,Very High
