date,nav
08-06-2026,6174.20840
05-06-2026,6168.47550
04-06-2026,6160.94340
03-06-2026,6159.96260
02-06-2026,6158.96650
01-06-2026,6156.75320
29-05-2026,6151.11390
27-05-2026,6146.61180
26-05-2026,6144.00040
25-05-2026,6144.84780
22-05-2026,6142.63800
21-05-2026,6142.88080
20-05-2026,6147.58560
19-05-2026,6149.75980
18-05-2026,6148.48470
15-05-2026,6148.30160
14-05-2026,6148.93610
13-05-2026,6150.12570
12-05-2026,6150.50760
11-05-2026,6151.86710
08-05-2026,6151.37070
07-05-2026,6149.90980
06-05-2026,6149.03070
05-05-2026,6146.00010
04-05-2026,6145.70490
30-04-2026,6140.16140
29-04-2026,6141.87990
28-04-2026,6143.00100
27-04-2026,6142.59020
24-04-2026,6142.20180
23-04-2026,6141.96030
22-04-2026,6143.36630
21-04-2026,6142.96010
20-04-2026,6142.25370
17-04-2026,6139.23510
16-04-2026,6139.70040
15-04-2026,6137.69620
13-04-2026,6133.40710
10-04-2026,6129.76740
09-04-2026,6126.15440
08-04-2026,6119.12430
07-04-2026,6110.18340
06-04-2026,6107.33460
02-04-2026,6104.72640
31-03-2026,6102.51310
30-03-2026,6101.38580
27-03-2026,6095.18590
25-03-2026,6090.54100
24-03-2026,6089.20450
23-03-2026,6090.16010
20-03-2026,6093.52610
18-03-2026,6093.85860
17-03-2026,6089.09930
16-03-2026,6086.34340
13-03-2026,6083.61970
12-03-2026,6087.11200
11-03-2026,6088.34040
10-03-2026,6086.65160
09-03-2026,6085.22880
06-03-2026,6084.29620
05-03-2026,6082.39270
04-03-2026,6081.05890
02-03-2026,6081.76400
27-02-2026,6079.91950
26-02-2026,6078.81230
25-02-2026,6077.58860
24-02-2026,6076.17580
23-02-2026,6074.63880
20-02-2026,6071.65710
18-02-2026,6069.76700
17-02-2026,6069.70630
16-02-2026,6069.37830
13-02-2026,6066.86400
12-02-2026,6063.70500
11-02-2026,6061.12040
10-02-2026,6058.86430
09-02-2026,6057.50320
06-02-2026,6054.96860
05-02-2026,6055.74490
04-02-2026,6053.33130
03-02-2026,6050.77330
02-02-2026,6047.21590
30-01-2026,6043.78380
29-01-2026,6041.31730
28-01-2026,6040.78420
27-01-2026,6041.49770
23-01-2026,6037.64530
22-01-2026,6037.50600
21-01-2026,6034.62460
20-01-2026,6033.43290
19-01-2026,6033.56390
16-01-2026,6031.76390
14-01-2026,6031.49900
13-01-2026,6030.99530
12-01-2026,6031.23290
09-01-2026,6028.45910
08-01-2026,6028.08600
07-01-2026,6028.38460
06-01-2026,6028.72710
05-01-2026,6027.69050
