date,nav
08-06-2026,102.48450
05-06-2026,103.81020
04-06-2026,103.64210
03-06-2026,103.48090
02-06-2026,103.59590
01-06-2026,103.09480
31-05-2026,104.30830
29-05-2026,104.31290
27-05-2026,105.92960
26-05-2026,105.51150
25-05-2026,105.92170
22-05-2026,104.77080
21-05-2026,104.49150
20-05-2026,104.60460
19-05-2026,104.27670
18-05-2026,104.15560
15-05-2026,104.29180
14-05-2026,104.55310
13-05-2026,103.39600
12-05-2026,103.33840
11-05-2026,105.60660
08-05-2026,107.15000
07-05-2026,107.67290
06-05-2026,107.33540
05-05-2026,105.83870
04-05-2026,105.74490
30-04-2026,105.28450
29-04-2026,106.06980
28-04-2026,105.62120
27-04-2026,106.05280
24-04-2026,105.09280
23-04-2026,106.13010
22-04-2026,106.82990
21-04-2026,107.24340
20-04-2026,106.20630
17-04-2026,105.98260
16-04-2026,105.11700
15-04-2026,104.92590
13-04-2026,103.23030
10-04-2026,104.13480
09-04-2026,102.54940
08-04-2026,103.28330
07-04-2026,99.38760
06-04-2026,98.80140
02-04-2026,97.52000
01-04-2026,97.71840
31-03-2026,96.27530
30-03-2026,96.27680
27-03-2026,98.67390
25-03-2026,100.73190
24-03-2026,98.65970
23-03-2026,96.71300
20-03-2026,99.61420
19-03-2026,99.15970
18-03-2026,102.45920
17-03-2026,101.24960
16-03-2026,100.39600
13-03-2026,99.71110
12-03-2026,101.97180
11-03-2026,102.97760
10-03-2026,104.75930
09-03-2026,103.38820
06-03-2026,105.40500
05-03-2026,106.72970
04-03-2026,105.49280
02-03-2026,107.52310
28-02-2026,108.93250
27-02-2026,108.93450
26-02-2026,110.29450
25-02-2026,109.92930
24-02-2026,109.36810
23-02-2026,110.29100
20-02-2026,109.52730
19-02-2026,109.00910
18-02-2026,110.63030
17-02-2026,110.08060
16-02-2026,109.84440
13-02-2026,109.34090
12-02-2026,110.53650
11-02-2026,110.83920
10-02-2026,110.65190
09-02-2026,110.38450
06-02-2026,109.17560
05-02-2026,109.01370
04-02-2026,109.28800
03-02-2026,109.09550
02-02-2026,106.15960
31-01-2026,107.18970
30-01-2026,107.19180
29-01-2026,107.17590
28-01-2026,107.02960
27-01-2026,105.94500
23-01-2026,105.71710
22-01-2026,106.87140
21-01-2026,106.07310
20-01-2026,106.50560
19-01-2026,108.36170
16-01-2026,108.64460
14-01-2026,108.50480
13-01-2026,108.84250
