date,nav
08-06-2026,242.15940
05-06-2026,246.08780
04-06-2026,246.07840
03-06-2026,245.65930
02-06-2026,246.85660
01-06-2026,246.98140
29-05-2026,248.66730
27-05-2026,251.22730
26-05-2026,251.27020
25-05-2026,249.22660
22-05-2026,247.80390
21-05-2026,248.88530
20-05-2026,244.71990
19-05-2026,241.67710
18-05-2026,241.26150
15-05-2026,242.09520
14-05-2026,243.53140
13-05-2026,240.07460
12-05-2026,238.15280
11-05-2026,242.72190
08-05-2026,244.62010
07-05-2026,245.60550
06-05-2026,245.38780
05-05-2026,242.95940
04-05-2026,242.76550
30-04-2026,240.53530
29-04-2026,242.34500
28-04-2026,242.62410
27-04-2026,241.25170
24-04-2026,238.14560
23-04-2026,239.75830
22-04-2026,238.57020
21-04-2026,236.45980
20-04-2026,235.19610
17-04-2026,236.21330
16-04-2026,233.31800
15-04-2026,231.54340
13-04-2026,226.98090
10-04-2026,228.69930
09-04-2026,224.62350
08-04-2026,224.59090
07-04-2026,217.96040
06-04-2026,217.64130
02-04-2026,216.27950
01-04-2026,216.76270
31-03-2026,212.35710
30-03-2026,212.35610
27-03-2026,215.97900
25-03-2026,218.68660
24-03-2026,214.91640
23-03-2026,210.11500
20-03-2026,215.88190
19-03-2026,214.08990
18-03-2026,219.40770
17-03-2026,215.87230
16-03-2026,213.40910
13-03-2026,212.78840
12-03-2026,216.83130
11-03-2026,217.26380
10-03-2026,217.21510
09-03-2026,213.72110
06-03-2026,215.12440
05-03-2026,216.04330
04-03-2026,213.86320
02-03-2026,217.44490
27-02-2026,221.21080
26-02-2026,223.82800
25-02-2026,222.64820
24-02-2026,220.56050
23-02-2026,221.70510
20-02-2026,221.34080
19-02-2026,220.41320
18-02-2026,223.26080
17-02-2026,222.97730
16-02-2026,222.49540
13-02-2026,222.57480
12-02-2026,225.42450
11-02-2026,225.69290
10-02-2026,225.19960
09-02-2026,224.51980
06-02-2026,221.73980
05-02-2026,220.82750
04-02-2026,220.85430
03-02-2026,220.15360
02-02-2026,215.36870
30-01-2026,217.36270
29-01-2026,215.82060
28-01-2026,216.54810
27-01-2026,214.53240
23-01-2026,214.91300
22-01-2026,218.23780
21-01-2026,216.46310
20-01-2026,220.30030
19-01-2026,224.66870
16-01-2026,224.95280
14-01-2026,225.39530
13-01-2026,225.48150
12-01-2026,226.25870
09-01-2026,227.02650
08-01-2026,229.22630
