date,nav
08-06-2026,95.89520
05-06-2026,97.24560
04-06-2026,97.26210
03-06-2026,97.21670
02-06-2026,97.47830
01-06-2026,97.19440
29-05-2026,98.46560
27-05-2026,99.80920
26-05-2026,99.43560
25-05-2026,99.80470
22-05-2026,98.74970
21-05-2026,98.37810
20-05-2026,98.39330
19-05-2026,98.12890
18-05-2026,97.93720
15-05-2026,98.00590
14-05-2026,98.06060
13-05-2026,97.16900
12-05-2026,97.18460
11-05-2026,99.20070
08-05-2026,100.49810
07-05-2026,101.29170
06-05-2026,101.17250
05-05-2026,99.90720
04-05-2026,100.09320
30-04-2026,99.55020
29-04-2026,100.39280
28-04-2026,99.97820
27-04-2026,100.60930
24-04-2026,99.76000
23-04-2026,100.80160
22-04-2026,101.58030
21-04-2026,101.96450
20-04-2026,100.95660
17-04-2026,100.79030
16-04-2026,99.92630
15-04-2026,99.88430
13-04-2026,98.18510
10-04-2026,98.88860
09-04-2026,97.49480
08-04-2026,98.18610
07-04-2026,94.75840
06-04-2026,94.35300
02-04-2026,93.23610
01-04-2026,92.92110
31-03-2026,91.45390
30-03-2026,91.45500
27-03-2026,93.57900
25-03-2026,95.62170
24-03-2026,93.83540
23-03-2026,92.15230
20-03-2026,94.82760
19-03-2026,94.54580
18-03-2026,97.54880
17-03-2026,96.61460
16-03-2026,95.94410
13-03-2026,95.18440
12-03-2026,97.31000
11-03-2026,98.11390
10-03-2026,99.47250
09-03-2026,98.28950
06-03-2026,100.08290
05-03-2026,101.14220
04-03-2026,99.95100
02-03-2026,101.85410
27-02-2026,103.30520
26-02-2026,104.50750
25-02-2026,104.46410
24-02-2026,103.95640
23-02-2026,104.82030
20-02-2026,104.23510
19-02-2026,103.59180
18-02-2026,105.25590
17-02-2026,104.70840
16-02-2026,104.53610
13-02-2026,103.81480
12-02-2026,104.99220
11-02-2026,105.54260
10-02-2026,105.35720
09-02-2026,104.89980
06-02-2026,103.92040
05-02-2026,103.75900
04-02-2026,104.07640
03-02-2026,103.85380
02-02-2026,101.24560
30-01-2026,102.23550
29-01-2026,102.39490
28-01-2026,101.84160
27-01-2026,100.89520
23-01-2026,100.51270
22-01-2026,101.53930
21-01-2026,100.89630
20-01-2026,101.29080
19-01-2026,102.92260
16-01-2026,103.21360
14-01-2026,103.31770
13-01-2026,103.37350
12-01-2026,103.62180
09-01-2026,103.46540
08-01-2026,104.33270
