date,nav
08-06-2026,105.30840
05-06-2026,105.10700
04-06-2026,104.80950
03-06-2026,104.74960
02-06-2026,104.76630
01-06-2026,104.70250
29-05-2026,104.65700
27-05-2026,104.58330
26-05-2026,104.52690
25-05-2026,104.52150
22-05-2026,104.34670
21-05-2026,104.28500
20-05-2026,104.38260
19-05-2026,104.42160
18-05-2026,104.37910
15-05-2026,104.59680
14-05-2026,104.73180
13-05-2026,104.73710
12-05-2026,104.75850
11-05-2026,104.80530
08-05-2026,104.86960
07-05-2026,104.87620
06-05-2026,104.80430
05-05-2026,104.61660
04-05-2026,104.65440
30-04-2026,104.57060
29-04-2026,104.65940
28-04-2026,104.74280
27-04-2026,104.77710
24-04-2026,104.70910
23-04-2026,104.76520
22-04-2026,104.84730
21-04-2026,104.84700
20-04-2026,104.83690
17-04-2026,104.78210
16-04-2026,104.79590
15-04-2026,104.79010
13-04-2026,104.61130
10-04-2026,104.59560
09-04-2026,104.51500
08-04-2026,104.39190
07-04-2026,103.99180
06-04-2026,103.91420
02-04-2026,103.88130
31-03-2026,104.01160
30-03-2026,103.99210
27-03-2026,103.91020
25-03-2026,103.97130
24-03-2026,103.98160
23-03-2026,110.66250
20-03-2026,110.93520
18-03-2026,110.99850
17-03-2026,110.93160
16-03-2026,110.91590
13-03-2026,110.92870
12-03-2026,110.98980
11-03-2026,111.10720
10-03-2026,111.04840
09-03-2026,110.91930
06-03-2026,111.03950
05-03-2026,111.05340
04-03-2026,110.94990
02-03-2026,111.06530
27-02-2026,111.02610
26-02-2026,111.00690
25-02-2026,110.98260
24-02-2026,110.93940
23-02-2026,110.88290
20-02-2026,110.80700
18-02-2026,110.86130
17-02-2026,110.86820
16-02-2026,110.84090
13-02-2026,110.75840
12-02-2026,110.63090
11-02-2026,110.50560
10-02-2026,110.42930
09-02-2026,110.42330
06-02-2026,110.41730
05-02-2026,110.59850
04-02-2026,110.44770
03-02-2026,110.29600
02-02-2026,110.15370
30-01-2026,110.19030
29-01-2026,110.09220
28-01-2026,110.08550
27-01-2026,110.10780
23-01-2026,110.07660
22-01-2026,110.05390
21-01-2026,109.94380
20-01-2026,109.93850
19-01-2026,109.97420
16-01-2026,110.01070
14-01-2026,110.12860
13-01-2026,110.18780
12-01-2026,110.29740
09-01-2026,110.23270
08-01-2026,110.22180
07-01-2026,110.21750
06-01-2026,110.26470
05-01-2026,110.24980
